Layer Type,Layer Name,Layer Trainable
<tensorflow.python.keras.engine.input_layer.InputLayer object at 0x00000209D0B03940>,input_1,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0B06438>,stem_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D0B06748>,stem_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D0B06D30>,stem_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209D0B06CC0>,block1a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D0CBD9E8>,block1a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D0CBDBE0>,block1a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209D0CD9A90>,block1a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209D0CCCB00>,block1a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0CE9208>,block1a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0CEF1D0>,block1a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209D0CEFE10>,block1a_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0CF65C0>,block1a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D0D00208>,block1a_project_bn,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209D0D00710>,block1b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D0D1E198>,block1b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D0D23518>,block1b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209D0D2ED30>,block1b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209D0D23DA0>,block1b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0D3B4E0>,block1b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0D41400>,block1b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209D0D41FD0>,block1b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D0D498D0>,block1b_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D6F82470>,block1b_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209D6F82978>,block1b_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209D6F828D0>,block1b_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D6F9C438>,block2a_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D6FB0860>,block2a_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D6FBB4E0>,block2a_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209D6FBB400>,block2a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D6FD5B00>,block2a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D6FD5F98>,block2a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209D6FE7F98>,block2a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209D6FD9E80>,block2a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D6FEEE80>,block2a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D6FF8748>,block2a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209D6FFCB70>,block2a_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D7252320>,block2a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D7252F28>,block2a_project_bn,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D72582E8>,block2b_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D726CE48>,block2b_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D7275B00>,block2b_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209D7275C18>,block2b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D728A7B8>,block2b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209D728EE80>,block2b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209D728E7B8>,block2b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209D73B3710>,block2b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D73C46D8>,block2b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D73CBF98>,block2b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209D73D09E8>,block2b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D73D91D0>,block2b_project_conv,True
